Date,Open,High,Low,Close,Adj Close,Volume
2024-05-03,4626.950195,4627.000000,4545.049805,4612.350098,4612.350098,436785
2024-05-06,4620.000000,4739.899902,4576.000000,4600.600098,4600.600098,643041
2024-05-07,4619.950195,4698.000000,4581.000000,4660.450195,4660.450195,431030
2024-05-08,4674.799805,4863.799805,4670.000000,4806.750000,4806.750000,829723
2024-05-09,4806.750000,4895.600098,4730.000000,4798.649902,4798.649902,618014
2024-05-10,4798.649902,4852.000000,4735.850098,4796.799805,4796.799805,290601
2024-05-13,4799.950195,4809.000000,4667.000000,4693.700195,4693.700195,190782
2024-05-14,4739.000000,4755.000000,4550.350098,4597.049805,4597.049805,376741
2024-05-15,4614.950195,4680.000000,4597.100098,4652.450195,4652.450195,298259
2024-05-16,4674.299805,4699.000000,4660.049805,4671.250000,4671.250000,519285
2024-05-17,4680.000000,4710.000000,4665.049805,4682.899902,4682.899902,203113
2024-05-21,4670.000000,4737.450195,4605.450195,4705.899902,4705.899902,179171
2024-05-22,4763.149902,4924.200195,4737.149902,4798.799805,4798.799805,716981
2024-05-23,4794.500000,4812.000000,4755.799805,4793.549805,4793.549805,151025
2024-05-24,4797.899902,4841.399902,4674.100098,4684.500000,4684.500000,307316
2024-05-27,4651.549805,4669.000000,4508.000000,4537.350098,4537.350098,392853
2024-05-28,4551.899902,4588.850098,4440.200195,4474.450195,4474.450195,224693
2024-05-29,4474.000000,4564.850098,4435.100098,4476.850098,4476.850098,234524
2024-05-30,4475.899902,4497.250000,4410.000000,4444.950195,4444.950195,141706
2024-05-31,4440.000000,4450.000000,4250.399902,4302.149902,4302.149902,866438
2024-06-03,4392.950195,4400.000000,4301.000000,4349.350098,4349.350098,279797
2024-06-04,4399.000000,4590.000000,4355.649902,4548.750000,4548.750000,1093378
2024-06-05,4590.000000,4900.000000,4562.200195,4862.250000,4862.250000,1495770
2024-06-06,4861.950195,4861.950195,4675.250000,4687.049805,4687.049805,664303
2024-06-07,4700.000000,4806.350098,4690.750000,4747.250000,4747.250000,352969
2024-06-10,4769.049805,4812.000000,4688.000000,4778.399902,4778.399902,276907
2024-06-11,4800.000000,4829.899902,4676.000000,4701.450195,4701.450195,266806
2024-06-12,4710.049805,4740.000000,4645.000000,4666.750000,4666.750000,555091
2024-06-13,4697.250000,4739.950195,4640.049805,4656.649902,4656.649902,238268
